city,city_normalized,pollutant_count,pollutant_rows,avg_q_avg_mg_m3,avg_q_avg_gdk_ratio,max_q_max_gdk_ratio,top_pollutant_name_uk,top_pollutant_key,top_pollutant_avg_q_avg_gdk_ratio,top_pollutant_max_q_max_gdk_ratio,observation_month,observation_month_label,risk_band,permit_count,permit_admin_unit_count,permit_admin_units,latest_permit_issued,has_permits_context,sortsmart_regions_covered
Дніпро,дніпро,9,9,0.2667223936899863,1.2225149622111413,4.375,Формальдегiд,формальдегiд,3.739316239316227,0.9714285714285714,2025-05-01,2025-05,High exceedance pressure,0,0,,,False,22
Ужгород,ужгород,7,7,0.13527513227513224,1.1414917695473237,2.7428571428571424,Формальдегiд,формальдегiд,4.4074074074073994,2.7428571428571424,2025-05-01,2025-05,High exceedance pressure,0,0,,,False,22
Кам'янське,камянське,9,9,0.4153612760203544,1.6254155871472273,2.5014999999999996,Формальдегiд,формальдегiд,3.229791666666666,0.7599999999999999,2025-05-01,2025-05,High exceedance pressure,0,0,,,False,22
Київ,київ,11,11,0.15915704141822118,0.8294348860230557,2.184,Дiоксид азоту,nitrogen_dioxide,2.42540044247788,1.92,2025-05-01,2025-05,High exceedance pressure,0,0,,,False,22
Полтава,полтава,10,10,0.1826118776784218,0.48011198856719023,2.0,Формальдегiд,формальдегiд,1.1645299145299144,0.6857142857142856,2025-05-01,2025-05,High exceedance pressure,0,0,,,False,22
Кропивницький,кропивницький,8,8,0.3893508650878443,0.7317676225523451,1.8,Завислі речовини,suspended_particles,1.481481481481483,0.8,2025-05-01,2025-05,High exceedance pressure,0,0,,,False,22
Херсон,херсон,8,8,0.08458894751082252,1.1542361368789946,1.6,Дiоксид азоту,nitrogen_dioxide,4.809523809523813,1.35,2025-05-01,2025-05,High exceedance pressure,0,0,,,False,22
Рівне,рівне,11,11,0.10820913299440642,0.4640761348368082,1.5499999999999998,Формальдегiд,формальдегiд,1.3828014184397162,0.7114285714285713,2025-05-01,2025-05,High exceedance pressure,0,0,,,False,22
Чернівці,чернівці,10,10,0.024928252698287696,0.6010934948096099,1.444,Озон,озон,2.6664784946236555,0.91625,2025-05-01,2025-05,High exceedance pressure,3,1,Вінницька,2024-04-01,True,22
Суми,суми,8,8,0.27216201545368207,1.3175433260155478,1.4,Дiоксид азоту,nitrogen_dioxide,2.470352564102563,1.0999999999999999,2025-05-01,2025-05,High exceedance pressure,0,0,,,False,22
Хмельницький,хмельницький,10,10,0.20031837962962964,0.4581109396433469,1.3835,Дiоксид азоту,nitrogen_dioxide,1.1146527777777773,1.3835,2025-05-01,2025-05,High exceedance pressure,0,0,,,False,22
Запоріжжя,запоріжжя,11,11,0.06968408051243004,0.878228227187434,1.24,Формальдегiд,формальдегiд,2.129487179487179,0.3028571428571428,2025-05-01,2025-05,High exceedance pressure,0,0,,,False,22
Вінниця,вінниця,7,7,0.12353181216931217,0.6728293650793651,1.2205,Дiоксид азоту,nitrogen_dioxide,1.5937962962962962,1.2205,2025-05-01,2025-05,High exceedance pressure,187,1,Вінницька,2032-10-25,True,22
Біла Церква,біла церква,4,4,0.26964201388888887,0.9707542438271606,1.2114999999999998,Дiоксид азоту,nitrogen_dioxide,2.486365740740741,1.2114999999999998,2025-05-01,2025-05,High exceedance pressure,0,0,,,False,22
Кривий Ріг,кривий ріг,9,9,0.17458014767800603,1.071178480522368,1.2,Формальдегiд,формальдегiд,4.088141025641016,1.1428571428571428,2025-05-01,2025-05,High exceedance pressure,0,0,,,False,22
Тернопіль,тернопіль,6,6,0.5784145833333333,0.5754815705128206,1.16,Оксид вуглецю,carbon_monoxide,1.116025641025641,1.16,2025-05-01,2025-05,High exceedance pressure,0,0,,,False,22
Житомир,житомир,4,4,0.22252048611111114,1.0451610725308644,1.0825,Дiоксид азоту,nitrogen_dioxide,2.7041319444444456,1.0825,2025-05-01,2025-05,High exceedance pressure,0,0,,,False,22
Луцьк,луцьк,8,8,0.025485879629629615,0.9292850529100525,1.04,Формальдегiд,формальдегiд,2.0672839506172824,0.6171428571428571,2025-05-01,2025-05,High exceedance pressure,0,0,,,False,22
Олександрія,олександрія,5,5,0.06766945156695156,0.8852273266856601,1.0,Завислі речовини,suspended_particles,1.6172839506172838,0.8,2025-05-01,2025-05,High exceedance pressure,0,0,,,False,22
Кременчук,кременчук,10,10,0.0908591761138885,0.5667612341574475,1.0,Формальдегiд,формальдегiд,2.2632791327913284,0.6685714285714285,2025-05-01,2025-05,High exceedance pressure,0,0,,,False,22
