city,observation_month_label,pollutant_count,avg_q_avg_gdk_ratio,max_q_max_gdk_ratio,top_pollutant_name_uk,permit_count,permit_admin_unit_count,permit_admin_units,latest_permit_issued,has_permits_context,risk_band
Івано-Франківськ,2025-05,5,0.5889240740740741,0.5515,Дiоксид азоту,0,0,,,False,Elevated pressure
Ізмаїл,2025-05,7,0.600430704053424,0.467001220703125,Дiоксид азоту,0,0,,,False,Lower pressure
Бровари,2025-05,4,0.8091909722222224,0.7639999999999999,Дiоксид азоту,0,0,,,False,Elevated pressure
Біла Церква,2025-05,4,0.9707542438271606,1.2114999999999998,Дiоксид азоту,0,0,,,False,High exceedance pressure
Вінниця,2025-05,7,0.6728293650793651,1.2205,Дiоксид азоту,187,1,Вінницька,2032-10-25,True,High exceedance pressure
Горішні Плавні,2025-05,8,0.2632552083333333,0.74,Завислі речовини,0,0,,,False,Elevated pressure
Дніпро,2025-05,9,1.2225149622111413,4.375,Формальдегiд,0,0,,,False,High exceedance pressure
Житомир,2025-05,4,1.0451610725308644,1.0825,Дiоксид азоту,0,0,,,False,High exceedance pressure
Запоріжжя,2025-05,11,0.878228227187434,1.24,Формальдегiд,0,0,,,False,High exceedance pressure
Кам'янське,2025-05,9,1.6254155871472273,2.5014999999999996,Формальдегiд,0,0,,,False,High exceedance pressure
Київ,2025-05,11,0.8294348860230557,2.184,Дiоксид азоту,0,0,,,False,High exceedance pressure
Кременчук,2025-05,10,0.5667612341574475,1.0,Формальдегiд,0,0,,,False,High exceedance pressure
Кривий Ріг,2025-05,9,1.071178480522368,1.2,Формальдегiд,0,0,,,False,High exceedance pressure
Кропивницький,2025-05,8,0.7317676225523451,1.8,Завислі речовини,0,0,,,False,High exceedance pressure
Луцьк,2025-05,8,0.9292850529100525,1.04,Формальдегiд,0,0,,,False,High exceedance pressure
Львів,2025-05,7,0.7506248897707227,0.9400000000000001,Формальдегiд,0,0,,,False,Elevated pressure
Миколаїв,2025-05,7,0.8083723544973542,0.72,Формальдегiд,0,0,,,False,Elevated pressure
Обухів,2025-05,4,0.6849370421245421,0.4845,Дiоксид азоту,0,0,,,False,Lower pressure
Одеса,2025-05,11,1.0821990797268572,0.916,Формальдегiд,0,0,,,False,Elevated pressure
Олександрія,2025-05,5,0.8852273266856601,1.0,Завислі речовини,0,0,,,False,High exceedance pressure
Полтава,2025-05,10,0.48011198856719023,2.0,Формальдегiд,0,0,,,False,High exceedance pressure
Рівне,2025-05,11,0.4640761348368082,1.5499999999999998,Формальдегiд,0,0,,,False,High exceedance pressure
Світловодськ,2025-05,7,0.5144737654320987,0.3635,Формальдегiд,0,0,,,False,Lower pressure
Суми,2025-05,8,1.3175433260155478,1.4,Дiоксид азоту,0,0,,,False,High exceedance pressure
Тернопіль,2025-05,6,0.5754815705128206,1.16,Оксид вуглецю,0,0,,,False,High exceedance pressure
Ужгород,2025-05,7,1.1414917695473237,2.7428571428571424,Формальдегiд,0,0,,,False,High exceedance pressure
Українка,2025-05,4,0.9545972222222221,0.8115,Дiоксид азоту,0,0,,,False,Elevated pressure
Харків,2025-05,11,0.3823823990377233,0.7,Дiоксид азоту,0,0,,,False,Elevated pressure
Херсон,2025-05,8,1.1542361368789946,1.6,Дiоксид азоту,0,0,,,False,High exceedance pressure
Хмельницький,2025-05,10,0.4581109396433469,1.3835,Дiоксид азоту,0,0,,,False,High exceedance pressure
Черкаси,2025-05,9,0.7075268107110624,0.8,Формальдегiд,0,0,,,False,Elevated pressure
Чернівці,2025-05,10,0.6010934948096099,1.444,Озон,3,1,Вінницька,2024-04-01,True,High exceedance pressure
Чернігів,2025-05,4,0.9990558449074076,0.9349999999999999,Дiоксид азоту,0,0,,,False,Elevated pressure
