admin_unit,settlement,permit_count,unlimited_count,expired_count,first_issued,latest_issued
Вінницька,Вінниця,185,126,2,2021-01-06,2032-10-25
Вінницька,Козятин,35,22,0,2021-01-19,2025-11-19
Вінницька,Гайсин,34,22,1,2021-01-22,2025-12-31
Вінницька,Калинівка,31,20,0,2021-01-27,2025-12-23
Вінницька,Жмеринка,30,19,0,2021-01-06,2025-10-24
Вінницька,Хмільник,27,14,1,2021-02-18,2025-10-09
Вінницька,Ладижин,22,13,0,2021-06-09,2025-08-21
Вінницька,Тростянець,21,9,0,2021-01-22,2025-09-18
Вінницька,Тульчин,20,11,0,2021-09-24,2025-08-07
Вінницька,Оратів,20,14,0,2021-02-24,2025-09-18
Вінницька,Бар,18,14,0,2021-02-24,2025-11-28
Вінницька,Іллінці,17,11,0,2021-02-22,2025-12-22
Вінницька,Немирів,16,10,0,2021-03-11,2025-12-24
Вінницька,Теплик,16,9,0,2021-10-29,2025-12-03
Вінницька,Крижопіль,14,11,0,2021-06-29,2025-10-17
Вінницька,Стрижавка,13,2,0,2021-02-12,2024-09-27
Вінницька,Могилів-Подільський,13,10,1,2021-06-17,2025-09-09
Вінницька,Липовець,13,9,0,2021-09-09,2025-05-02
Вінницька,Гнівань,13,8,0,2021-03-09,2025-12-09
Вінницька,Тиврів,12,6,0,2021-01-13,2025-10-09
Вінницька,Турбів,12,11,0,2021-06-10,2025-09-18
Вінницька,Ямпіль,12,8,0,2021-06-04,2025-05-13
Вінницька,Бершадь,10,7,0,2021-06-25,2025-07-07
Вінницька,Вороновиця,10,8,0,2021-06-04,2023-12-18
Вінницька,Муровані Курилівці,9,7,0,2021-02-17,2024-10-24
Вінницька,Зарванці,9,8,0,2021-02-04,2025-07-30
Вінницька,Іванів,9,4,0,2021-03-03,2023-10-25
Вінницька,Ободівка,8,6,0,2021-06-15,2023-10-02
Вінницька,Літин,8,5,0,2021-08-27,2025-08-07
Вінницька,Вендичани,8,6,0,2021-01-04,2024-10-01
Вінницька,Глухівці,7,4,0,2021-03-03,2025-04-28
Вінницька,Томашпіль,7,5,0,2021-12-09,2024-05-17
Вінницька,Дашів,7,5,0,2021-06-09,2023-08-28
Вінницька,Махнівка,7,4,0,2021-11-05,2025-10-21
Вінницька,Цибулівка,7,7,0,2021-02-04,2023-10-02
Вінницька,Погребище,7,6,0,2021-02-22,2025-10-09
Вінницька,Пеньківка,7,3,0,2022-04-08,2024-11-18
Вінницька,Немія,6,6,0,2021-06-22,2023-10-13
Вінницька,Чечельник,6,6,0,2021-06-09,2023-10-02
Вінницька,Вапнярка,6,5,0,2021-01-06,2025-07-07
Вінницька,Шаргород,6,5,0,2021-02-24,2025-12-23
Вінницька,Сокілець,5,1,0,2021-07-16,2024-12-12
Вінницька,Довжок,5,4,1,2021-01-13,2025-10-17
Вінницька,Рудниця,5,2,0,2021-03-11,2024-07-02
Вінницька,Северинівка,5,3,0,2022-02-16,2024-10-21
Вінницька,Ольгопіль,5,3,1,2023-08-07,2023-08-31
Вінницька,Сутиски,5,2,1,2021-01-15,2025-02-24
Вінницька,Строїнці,5,5,0,2025-11-28,2025-12-03
Вінницька,Брацлав,5,3,0,2021-10-13,2024-05-10
