region_key,display_region,station_count,settlement_count,platform_count,authority_count,cez_station_count,untrusted_station_count,avg_lat,avg_lon,coverage_share_pct
cherkasy,Cherkasy Oblast,128,70,50,48,0,0,49.23671481609375,31.307115561171877,12.5
kyiv_oblast,Kyiv Oblast,104,38,9,6,62,0,50.950400399038465,30.25066683307692,10.1
dnipropetrovsk,Dnipropetrovsk Oblast,77,26,13,12,0,0,48.08020276194805,34.581005256753244,7.5
lviv,Lviv Oblast,77,34,8,8,0,0,49.73008696675325,23.89947007142857,7.5
zaporizhzhia,Zaporizhzhia Oblast,74,27,9,7,0,0,47.48899694162162,34.99326680027027,7.2
,,48,0,1,1,48,0,51.335530687500004,29.999043364583333,4.7
khmelnytskyi,Khmelnytskyi Oblast,46,26,9,7,0,0,49.64882802304348,26.73759596521739,4.5
kyiv_city,Kyiv City,39,1,7,6,0,0,50.45133425358974,30.497346753589746,3.8
mykolaiv,Mykolaiv Oblast,37,18,9,6,0,0,47.57676349216216,31.41162934,3.6
rivne,Rivne Oblast,33,21,8,5,0,0,51.14348142969697,26.205378613636363,3.2
kharkiv,Kharkiv Oblast,31,23,3,4,0,0,49.738576444838706,36.3331208083871,3.0
poltava,Poltava Oblast,30,23,5,5,0,0,49.686661643,34.05053091733333,2.9
volyn,Volyn Oblast,28,20,6,7,0,0,51.141558325,24.881694196428572,2.7
odesa,Odesa Oblast,28,15,7,6,0,0,46.526148222857145,30.092514568214284,2.7
donetsk,Donetsk Oblast,27,23,5,5,0,5,48.08635180259259,37.60661851888889,2.6
zakarpattia,Zakarpattia Oblast,25,9,5,6,0,0,48.508918016799996,22.721531589999998,2.4
kirovohrad,Kirovohrad Oblast,25,17,3,3,0,0,48.5054221504,31.957115478000002,2.4
ivano_frankivsk,Ivano-Frankivsk Oblast,21,15,6,5,0,0,48.74475079380952,24.636042499523814,2.0
vinnytsia,Vinnytsia Oblast,21,11,3,4,0,0,49.160532454761906,28.571951273333337,2.0
zhytomyr,Zhytomyr Oblast,20,12,4,5,0,0,50.646632317,28.526879559500003,1.9
kherson,Kherson Oblast,20,14,6,5,0,1,46.6629384735,33.4435728665,1.9
chernivtsi,Chernivtsi Oblast,20,14,4,4,0,0,48.30100516,26.123368112999998,1.9
crimea,Autonomous Republic of Crimea,17,16,2,1,0,16,45.20853921705882,34.3892712417647,1.7
sumy,Sumy Oblast,16,10,3,4,0,0,51.206386781875,33.954194340625,1.6
chernihiv,Chernihiv Oblast,15,10,3,3,0,0,51.340039432000005,32.09138391533334,1.5
ternopil,Ternopil Oblast,14,11,2,2,0,0,49.37315025714286,25.605792912857144,1.4
luhansk,Luhansk Oblast,7,7,2,1,0,6,49.098285714285716,38.90757142857143,0.7
