city,pollutant_name_uk,q_avg_mg_m3,q_avg_gdk_ratio,q_max_mg_m3,q_max_gdk_ratio,observation_month,observation_month_label,observation_year,observation_month_num,pollutant_key,source_file,source_sheet,source_title
Івано-Франківськ,Дiоксид азоту,0.04519117647058823,1.1297794117647058,0.1236,0.618,2024-10-01,2024-10,2024,10,nitrogen_dioxide,air_town_november_2024.xlsx,По містам,Вміст забруднювальних речовин в атмосферному повітрі міст України за даними спостережень у жовтні 2024 року
Івано-Франківськ,Дiоксид сiрки,0.0037676470588235292,0.07535294117647058,0.0246,0.0492,2024-10-01,2024-10,2024,10,sulfur_dioxide,air_town_november_2024.xlsx,По містам,Вміст забруднювальних речовин в атмосферному повітрі міст України за даними спостережень у жовтні 2024 року
Івано-Франківськ,Завислі речовини,0.14764705882352946,0.9843137254901965,0.18,0.36,2024-10-01,2024-10,2024,10,suspended_particles,air_town_november_2024.xlsx,По містам,Вміст забруднювальних речовин в атмосферному повітрі міст України за даними спостережень у жовтні 2024 року
Івано-Франківськ,Оксид азоту,0.029680882352941168,0.4946813725490195,0.0768,0.19199999999999998,2024-10-01,2024-10,2024,10,nitrogen_oxide,air_town_november_2024.xlsx,По містам,Вміст забруднювальних речовин в атмосферному повітрі міст України за даними спостережень у жовтні 2024 року
Івано-Франківськ,Оксид вуглецю,2.0205882352941176,0.6735294117647058,3.2,0.64,2024-10-01,2024-10,2024,10,carbon_monoxide,air_town_november_2024.xlsx,По містам,Вміст забруднювальних речовин в атмосферному повітрі міст України за даними спостережень у жовтні 2024 року
Ізмаїл,Дiоксид азоту,0.05920001666729268,1.480000416682317,0.1026,0.5129999999999999,2024-10-01,2024-10,2024,10,nitrogen_dioxide,air_town_november_2024.xlsx,По містам,Вміст забруднювальних речовин в атмосферному повітрі міст України за даними спостережень у жовтні 2024 року
Ізмаїл,Дiоксид сiрки,0.024204816436767588,0.48409632873535174,0.0497,0.0994,2024-10-01,2024-10,2024,10,sulfur_dioxide,air_town_november_2024.xlsx,По містам,Вміст забруднювальних речовин в атмосферному повітрі міст України за даними спостережень у жовтні 2024 року
Ізмаїл,Завислі речовини,0.061111116762514434,0.4074074450834296,0.16,0.32,2024-10-01,2024-10,2024,10,suspended_particles,air_town_november_2024.xlsx,По містам,Вміст забруднювальних речовин в атмосферному повітрі міст України за даними спостережень у жовтні 2024 року
Ізмаїл,Оксид вуглецю,0.6431481933593751,0.2143827311197917,1.34,0.268,2024-10-01,2024-10,2024,10,carbon_monoxide,air_town_november_2024.xlsx,По містам,Вміст забруднювальних речовин в атмосферному повітрі міст України за даними спостережень у жовтні 2024 року
Ізмаїл,Сiрководень,0.0013413462125338043,,0.0029,0.3625,2024-10-01,2024-10,2024,10,сiрководень,air_town_november_2024.xlsx,По містам,Вміст забруднювальних речовин в атмосферному повітрі міст України за даними спостережень у жовтні 2024 року
