companyId,companyName,addressAdminUnitL2,addressPostName,addressThoroughfare,addressLocatorDesignator,permissionNum,permissionIssued,permissionValid,companyGroup,permissionStatusNum,permissionStatusIssued,source_file,validity_type,permissionValidDate,is_expired
36187994,"СТОВ ""АГРОКРЯЖ"" ",Вінницька,Вендичани,,,522655500-18/1,2021-01-04,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
40316631,"ТОВ ""ФРУКТОНА-ВН""",Вінницька,Вінниця,Айвазовського,28,510136300-430,2021-01-06,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
2129063,"АГРОПРОМИСЛОВЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""ВІЗИТ""",Вінницька,Уланів,Зарічний,1,524887401-17,2021-01-06,2031-01-06,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-01-06,False
37617817,"ТОВ ""ВІННИЦЬКИЙ АВІАЦІЙНИЙ ЗАВОД""",Вінницька,Вінниця,Чехова,7,510136300-431,2021-01-06,2031-01-06,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-01-06,False
255964683,ФОП КУЖІЛЬ СВІТЛАНА АНАТОЛІЇВНА,Вінницька,Вапнярка,Незалежності,1А,523955400-45,2021-01-06,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
34142506,"ФГ ""К,СЛАВІК І К""",Вінницька,Городище,Весняна,12А,523280901-4,2021-01-06,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
40620678,"ТОВ ""АКВАРЕСУРС ПЛЮС""",Вінницька,Жмеринка,Магістральна,67,510300000-187,2021-01-06,2031-01-06,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-01-06,False
1195328,"СТОВ ""НАДІЯ""",Вінницька,Чортория,Першотравнева,74,521281609-2,2021-01-06,2031-01-06,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-01-06,False
4325495,МУРАФСЬКА СІЛЬСЬКА РАДА,Вінницька,Довжок,Мандибури,82,525381803-4,2021-01-13,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
4325495,МУРАФСЬКА СІЛЬСЬКА РАДА,Вінницька,Довжок,Шевченка,61А,525381803-5,2021-01-13,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
43642280,"ТОВ ""АВ-ПОДІЛЛЯ""",Вінницька,Тиврів,Злагоди,28,524555100-28,2021-01-13,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
34142532,"ФГ ""ЛІВОН""",Вінницька,Городище,Весняна,13В,523280901-5,2021-01-14,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
31599101,"ФГ ""СТРІЛА""",Вінницька,Михайлівці,Центральна,63,522884201-1/1,2021-01-14,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
