location_id,externalId,authority_name,authorityIdentifier,deviceName,measurement_type,platform_name,platformId,isUntrusted,description,locationInstallationPartner,isChornobylExclusionZone,addressCatuttc,addressPostCode,addressAdminUnitL1,admin_unit_l2,addressAdminUnitL3,addressAdminUnitL4,settlement_name,addressPostTypeName,addressCitytId,street_name,street_number,addressLocatorBuilding,addressDescription,lat,lon,source_file,region_raw,region_key,oblast_name_uk,oblast_name_en,display_region
61,,КП «ЦЕМ» ДОР,40725107.0,,автоматично,КП «ЦЕМ» ДОР,6.0,False,,,False,UA12020010010037010,,Україна,Дніпропетровська область,Дніпровський район,Дніпpoвськa міська громада,Дніпро,місто,1.0,"вулиця Батумська, 20А",,,,48.51388889,35.08222222,saveecobot_radiation_locations.csv,Дніпропетровська область,dnipropetrovsk,Dnipropetrovska oblast,Dnipropetrovsk Oblast,Dnipropetrovsk Oblast
62,,КП «ЦЕМ» ДОР,40725107.0,,автоматично,КП «ЦЕМ» ДОР,6.0,False,,,False,UA12020010010037010,,Україна,Дніпропетровська область,Дніпровський район,Дніпpoвськa міська громада,Дніпро,місто,1.0,"вулиця Космонавта Волкова, 11А",,,,48.40388889,35.13166667,saveecobot_radiation_locations.csv,Дніпропетровська область,dnipropetrovsk,Dnipropetrovska oblast,Dnipropetrovsk Oblast,Dnipropetrovsk Oblast
64,,КП «ЦЕМ» ДОР,40725107.0,,автоматично,КП «ЦЕМ» ДОР,6.0,False,,,False,UA12020010010037010,,Україна,Дніпропетровська область,Дніпровський район,Дніпpoвськa міська громада,Дніпро,місто,1.0,"проспект Свободи, 74",,,,48.482503,34.963052,saveecobot_radiation_locations.csv,Дніпропетровська область,dnipropetrovsk,Dnipropetrovska oblast,Dnipropetrovsk Oblast,Dnipropetrovsk Oblast
65,,КП «ЦЕМ» ДОР,40725107.0,,автоматично,КП «ЦЕМ» ДОР,6.0,False,,,False,UA12040110010051141,,Україна,Дніпропетровська область,Кам'янський район,Жoвтoвoдськa міська громада,Жовті Води,місто,12.0,"вулиця Шевченка, 12",,,,48.33972222,33.50333333,saveecobot_radiation_locations.csv,Дніпропетровська область,dnipropetrovsk,Dnipropetrovska oblast,Dnipropetrovsk Oblast,Dnipropetrovsk Oblast
66,,КП «ЦЕМ» ДОР,40725107.0,,автоматично,КП «ЦЕМ» ДОР,6.0,False,,,False,UA12060130010067974,,Україна,Дніпропетровська область,Криворізький район,Зeлeнoдoльськa міська громада,Зеленодольськ,місто,3428.0,"вулиця Рибалка, 7",,,,47.56666667,33.65361111,saveecobot_radiation_locations.csv,Дніпропетровська область,dnipropetrovsk,Dnipropetrovska oblast,Dnipropetrovsk Oblast,Dnipropetrovsk Oblast
67,,КП «ЦЕМ» ДОР,40725107.0,,автоматично,КП «ЦЕМ» ДОР,6.0,False,,,False,UA12080050010010114,,Україна,Дніпропетровська область,Нікопольський район,Нікoпoльськa міська громада,Нікополь,місто,14.0,"вулиця Гагаріна, 161",,,,47.5734668,34.3576873,saveecobot_radiation_locations.csv,Дніпропетровська область,dnipropetrovsk,Dnipropetrovska oblast,Dnipropetrovsk Oblast,Dnipropetrovsk Oblast
69,,КП «ЦЕМ» ДОР,40725107.0,,автоматично,КП «ЦЕМ» ДОР,6.0,False,,,False,UA12120070010055676,,Україна,Дніпропетровська область,Павлоградський район,Пaвлoгpaдськa міська громада,Павлоград,місто,15.0,"вулиця Кільцева, 8",,,,48.55555556,35.84305556,saveecobot_radiation_locations.csv,Дніпропетровська область,dnipropetrovsk,Dnipropetrovska oblast,Dnipropetrovsk Oblast,Dnipropetrovsk Oblast
71,,КП «ЦЕМ» ДОР,40725107.0,,автоматично,КП «ЦЕМ» ДОР,6.0,False,,,False,UA12080090010010311,,Україна,Дніпропетровська область,Нікопольський район,Пoкpoвськa міська громада,Покров,місто,16.0,"вулиця Івана Малки, 15",,,,47.66777778,34.06111111,saveecobot_radiation_locations.csv,Дніпропетровська область,dnipropetrovsk,Dnipropetrovska oblast,Dnipropetrovsk Oblast,Dnipropetrovsk Oblast
72,,КП «ЦЕМ» ДОР,40725107.0,,автоматично,КП «ЦЕМ» ДОР,6.0,False,,,False,UA12080090010010311,,Україна,Дніпропетровська область,Нікопольський район,Пoкpoвськa міська громада,Покров,місто,16.0,"вулиця Чіатурська, 6",,,,47.65777778,34.11777778,saveecobot_radiation_locations.csv,Дніпропетровська область,dnipropetrovsk,Dnipropetrovska oblast,Dnipropetrovsk Oblast,Dnipropetrovsk Oblast
1336,,"ГО ""ФРІ АРДУІНО""",42803747.0,Air Fresh Max,автоматично,Eco City,4.0,False,,,False,UA26040070020097949,,Україна,Івано-Франківська область,Івано-Франківський район,Буpштинськa міська громада,Бовшів,село,17.0,"вулиця Шевченка, 18",,,,49.204295,24.6918,saveecobot_radiation_locations.csv,Івано-Франківська область,ivano_frankivsk,Ivano-Frankivska oblast,Ivano-Frankivsk Oblast,Ivano-Frankivsk Oblast
