region_key,region_raw,facility_name,facility_type,source_sheet
poltava,"Полтавська обл., Великобагачанський р-н, с.Білоцерківка, UA53060010010044458",1/01014/2019,2020-12-03 00:00:00,Реєстр_ОУВ
poltava,"37112, Полтавська обл, Чорнухинський р-н, с.Гильці,    UA53040130100033753",2/19026/2020,2021-09-01 00:00:00,Реєстр_ОУВ
poltava,"37000, Полтавська обл., м.Пирятин, площа Герої Майдану, 8, UA53040090010096696",3/15013/2020,2021-09-03 00:00:00,Реєстр_ОУВ
poltava,"39722, Полтавська обл., Кременчуцький район, с.Недогарки, вул. Миру, 59 UA53020190140070951",4/24202/2020,2021-09-03 00:00:00,Реєстр_ОУВ
poltava,"36010, м.Полтава, вул.Половка, 62  UA53080370010183642",4/22371/2015,2015-02-12 00:00:00,Реєстр_ОУВ
poltava,"39800, Полтавська обл, м.Кременчук, вул. С. Крушельницької, 65,      м.Київ, вул.Івана Федорова, буд 32      UA53020110010031694",5/24174/2019,2020-05-26 00:00:00,Реєстр_ОУВ
poltava,"Полтавська обл., Миргородський р-н, с.Шахворостівка, UA53060230350011085",6/26212/2018,2019-02-27 00:00:00,Реєстр_ОУВ
poltava,"Полтавська обл., Миргородський р-н, с.Велика Обухівка, вул.Молодіжна, 18, UA53060070030089419",7/26166/2020,2021-03-22 00:00:00,Реєстр_ОУВ
poltava,"Полтавська обл., Кобеляцький р-н, с.Мідянівка, UA53080130370025876",8/08072/2020,2021-10-01 00:00:00,Реєстр_ОУВ
poltava,"Полтавська обл., Машівський р-н, с. Мала Нехвороща, вул.Шевченка, 18, UA53080270090050544",9/12008/2020,2021-09-16 00:00:00,Реєстр_ОУВ
poltava,"37552, Полтавська обл., Лубенський р-н, с. Засулля, вул. Молодіжна, 127, UA53040030130035063",10/25014/2018,2019-02-28 00:00:00,Реєстр_ОУВ
poltava,"37840, Полтавська обл., Хорольський р-н, с.Ковалі, вул.Миру, 65/2, 5324882601",11/18071/2019,2020-08-13 00:00:00,Реєстр_ОУВ
