Post_ID,Post_Name,Post_Code,Riverbas_Name,WaterLab_Name,Latitude,Longitude,Controle_Date,Azot,BSK5,Zavisli,Kisen,Sulfat,Hlorid,Amoniy,Nitrat,Nitrit,Fosfat,SPAR,Permanganat,HSK,Fitoplan,Atrazin,Simazin,source_file
26968,"р. Ірша, 31 км, м. Малин, питний в/з міста",UA_M5.1.2_0200_01,Дніпро,Лабораторія моніторингу вод та ґрунтів БУВР Прип'яті,50.764089,29.222356,2026-02-10,0.68,3.04,5.2,13.68,163.0,25.0,0.2399999999999999,2.09,0.022,0.056,,,31.47,,0.0,0.0,2026-02-01_2026-02-28_output.csv
26969,"р. Возня, 8 км, с. Рудня Городищенська, питний в/забір м. Малин",UA_M5.1.2_0228_01,Дніпро,Лабораторія моніторингу вод та ґрунтів БУВР Прип'яті,50.7092,29.286833,2026-02-10,0.5999999999999999,3.2,5.1,13.36,93.0,30.0,0.22,1.81,0.029,0.07,,,31.47,,0.0,0.0,2026-02-01_2026-02-28_output.csv
26971,"р. Ірпінь, 28 км, смт Гостомель, вплив вод р. Буча",UA_M5.1.2_0285_01,Дніпро,Лабораторія моніторингу вод  Північного регіону,50.5516,30.285117,2026-02-09,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
26972,"р. Ірпінь, 0,1 км, с.Козаровичі, гирло",OLD_5.1.2_0285,Дніпро,Лабораторія моніторингу вод  Північного регіону,50.743942,30.366742,2026-02-09,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
26976,"р. Дніпро, 855,5 км, 500 м вище БСА, (Канівське водосховище)",UA_M5.1.2_0002_05,Дніпро,Лабораторія моніторингу вод  Північного регіону,50.322792,30.628642,2026-02-18,,2.6,5.0,8.5,39.65,23.56,1.25,5.91,0.04,0.3599999999999999,,,31.38,,0.0,0.0,2026-02-01_2026-02-28_output.csv
26977,"р. Дніпро, 855 км, Скидний канал БСА, (Канівське водосховище)",UA_M5.1.2_0002_02,Дніпро,Лабораторія моніторингу вод  Північного регіону,50.325722,30.647628,2026-02-18,,6.42,81.0,7.2,66.7,134.0,31.93,9.68,1.81,4.24,,,63.01,,0.0,0.0,2026-02-01_2026-02-28_output.csv
26978,"р. Дніпро, 854,5 км, 500 м нижче БСА, (Канівське водосховище)",UA_M5.1.2_0002_03,Дніпро,Лабораторія моніторингу вод  Північного регіону,50.3168,30.633358,2026-02-18,,2.9,5.0,8.199999999999998,42.85,29.19,2.6,5.41,0.19,0.56,,,36.1,,0.0,0.0,2026-02-01_2026-02-28_output.csv
26979,"р. Дніпро, 825 км, нижче м. Українка, (Канівське водосховище)",UA_M5.1.2_0002_04,Дніпро,Лабораторія моніторингу вод  Північного регіону,50.119808,30.801622,2026-02-23,,3.7,5.0,6.6,61.1,83.34999999999998,1.36,10.87,0.4199999999999999,1.04,,,45.02,,0.0,0.0,2026-02-01_2026-02-28_output.csv
26986,"р. Десна, 200 км, м. Чернігів, у межах міста ",UA_M5.1.5_0001_02,Дніпро,Лабораторія моніторингу вод  Північного регіону,51.481778,31.309333,2026-02-10,,2.05,13.0,7.67,32.68,15.07,0.5999999999999999,2.0,0.03,0.5,,,26.0,,0.0,0.0,2026-02-01_2026-02-28_output.csv
26988,"р. Десна, 3 км, м.Київ, Деснянський водозабір",UA_M5.1.5_0001_04,Дніпро,Лабораторія моніторингу вод  Північного регіону,50.551,30.569,2026-02-10,,4.3,5.0,8.199999999999998,36.0,16.88,0.33,5.12,0.05,0.4299999999999999,,,27.44,,0.0,0.0,2026-02-01_2026-02-28_output.csv
26999,"р. Сейм, 182 км, с.Чумакове, вище техн. в/з м.Путівль, а/д міст",UA_M5.1.5_0085_05,Дніпро,Лабораторія моніторингу вод та ґрунтів РОВР у Сумській області,51.234197,33.908364,2026-02-17,,1.6,,8.87,,14.6,0.17,0.22,0.02,0.26,,,20.0,,0.0,0.0,2026-02-01_2026-02-28_output.csv
27013,"р. Білоус, 0 км, м. Чернігів",UA_M5.1.5_0242_01,Дніпро,Лабораторія моніторингу вод  Північного регіону,51.418389,31.253333,2026-02-16,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
27016,"р. Дніпро, 678 км, c. Сокирне, (Кременчуцьке водосховище) питний в/з м. Черкаси",UA_M5.1.2_0003_02,Дніпро,Лабораторія моніторингу вод  Північного регіону,49.551,31.9,2026-02-02,,1.3,5.0,11.0,15.0,24.0,0.4199999999999999,4.1,0.083,0.38,,,31.0,,0.0,0.0,2026-02-01_2026-02-28_output.csv
27018,"р. Дніпро, 580 км, с. Власівка, (Кременчуцьке водосховище) лівий берег, Власівський водозабір КП "" Кременчукводоканал"" Кременчуцької міської ради",UA_M5.1.2_0003_05,Дніпро,Лабораторія моніторингу вод  Північного регіону,49.114333,33.235999,2026-02-18,,3.0,8.699999999999998,8.12,30.0,25.0,0.319,1.919,0.03,0.4289999999999999,,,27.14,,0.0,0.0,2026-02-01_2026-02-28_output.csv
27019,"р. Дніпро, 580 км, питний в/з міста Світловодськ, (Кременчуцьке водосховище) правий берег",UA_M5.1.2_0003_04,Дніпро,Лабораторія моніторингу вод  Північного регіону,49.050889,33.151656,2026-02-10,,3.58,4.3,12.68,48.03,34.46,0.14,2.75,0.02,0.27,,,42.64,,0.0,0.0,2026-02-01_2026-02-28_output.csv
