region_key,oblast_name_uk,oblast_name_en
vinnytsia,Vinnytska oblast,Vinnytsia Oblast
volyn,Volynska oblast,Volyn Oblast
dnipropetrovsk,Dnipropetrovska oblast,Dnipropetrovsk Oblast
donetsk,Donetska oblast,Donetsk Oblast
zhytomyr,Zhytomyrska oblast,Zhytomyr Oblast
zakarpattia,Zakarpatska oblast,Zakarpattia Oblast
zaporizhzhia,Zaporizka oblast,Zaporizhzhia Oblast
ivano_frankivsk,Ivano-Frankivska oblast,Ivano-Frankivsk Oblast
kyiv_oblast,Kyivska oblast,Kyiv Oblast
kirovohrad,Kirovohradska oblast,Kirovohrad Oblast
luhansk,Luhanska oblast,Luhansk Oblast
lviv,Lvivska oblast,Lviv Oblast
mykolaiv,Mykolaivska oblast,Mykolaiv Oblast
odesa,Odeska oblast,Odesa Oblast
poltava,Poltavska oblast,Poltava Oblast
rivne,Rivnenska oblast,Rivne Oblast
sumy,Sumska oblast,Sumy Oblast
ternopil,Ternopilska oblast,Ternopil Oblast
kharkiv,Kharkivska oblast,Kharkiv Oblast
kherson,Khersonska oblast,Kherson Oblast
khmelnytskyi,Khmelnytska oblast,Khmelnytskyi Oblast
cherkasy,Cherkaska oblast,Cherkasy Oblast
chernivtsi,Chernivetska oblast,Chernivtsi Oblast
chernihiv,Chernihivska oblast,Chernihiv Oblast
kyiv_city,m. Kyiv,Kyiv City
