lag,level_correlation,change_correlation,level_n,change_n
-20,0.335256228229474,-0.05341673994113525,54,53
-19,0.34339376444353975,0.0971386439711288,55,54
-18,0.33859202186380977,-0.1816099558575598,56,55
-17,0.3535075063154251,-0.13478445960542787,57,56
-16,0.3830962381874304,-0.04953798948415564,58,57
-15,0.41256675904457707,-0.05068221690720487,59,58
-14,0.4437928102543286,0.03309421449585461,60,59
-13,0.4709614357723464,0.0698356612845325,61,60
-12,0.48089054972283457,-0.07618614001964785,62,61
-11,0.48025099151798795,-0.001700307583153623,63,62
-10,0.48429634817424877,-0.043236696684185845,64,63
-9,0.49142981445572703,0.0139291018960568,65,64
-8,0.49722818143885533,-0.03688978557567852,66,65
-7,0.5056590772408974,-0.21213603856417831,67,66
-6,0.5224085311785488,-0.13271565497446314,68,67
-5,0.5462190159735388,-0.04170294076139258,69,68
-4,0.5669536978446276,0.04026379377160182,70,69
-3,0.55150685141823,0.3436087246112046,71,70
-2,0.4891285102409662,-0.05838984298372739,72,71
-1,0.4815870004540465,-0.39725629889477165,73,72
0,0.5013451428074143,-0.24305697753576716,74,73
1,0.5451255618089113,-0.11723231207743509,73,72
2,0.5919908199361543,0.08795480121141701,72,71
3,0.6260375316788845,0.1312513609948957,71,70
4,0.6480689504178158,-0.020196693775005728,70,69
5,0.659979728608597,0.025205979501413397,69,68
6,0.6660645644664458,-0.028340964164271322,68,67
7,0.6663856368321633,-0.008879537058378375,67,66
8,0.6658993558576732,0.1390248060765713,66,65
9,0.6541515665440298,0.01013377738925416,65,64
10,0.6652813037265854,-0.2101940186454075,64,63
11,0.7202392737991823,-0.0006513926134579153,63,62
12,0.735145129518278,0.038508904707423096,62,61
13,0.726420948508932,0.08347861643412839,61,60
14,0.7162943319689082,-0.0060469792589659755,60,59
15,0.7041778619997733,-0.07280001589292444,59,58
16,0.7036333189793696,-0.058103896490471096,58,57
17,0.7047919272697697,-0.04125959070036486,57,56
18,0.7070052175515299,-0.0457173003475951,56,55
19,0.7123956068013978,-0.03982966529714514,55,54
20,0.7202608862400807,-0.017338431927643505,54,53
